Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,699,India,IND,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,61700,,,,61700,,324735,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,704,Viet Nam,VNM,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,3300,,,,3300,,18590,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,23,,,,23,,1421,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080290,"Nuts, edible; n.e.c. in heading no. 0801 and 0802, fresh or dried, whether or not shelled or peeled",8,Weight in kilograms,416,,,,416,,4242,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080310,"Fruit, edible; plantains, fresh or dried",8,Weight in kilograms,323385,,,,323385,,232271,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,218,Ecuador,ECU,,,,,,,,080310,"Fruit, edible; plantains, fresh or dried",8,Weight in kilograms,283080,,,,283080,,201220,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080310,"Fruit, edible; plantains, fresh or dried",8,Weight in kilograms,36600,,,,36600,,29993,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080310,"Fruit, edible; plantains, fresh or dried",8,Weight in kilograms,3705,,,,3705,,1057,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,151,,,,151,,933,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,17,,,,17,,451,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,21,,,,21,,73,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080211,"Nuts, edible; almonds, fresh or dried, in shell",8,Weight in kilograms,113,,,,113,,408,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,233155,,,,233155,,1287672,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,36,Australia,AUS,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,2948,,,,2948,,29937,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,14,,,,14,,150,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,230,,,,230,,1685,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,528,Netherlands,NLD,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,750,,,,750,,7356,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,3800,,,,3800,,2757,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,44906,,,,44906,,20028,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,179006,,,,179006,,1216208,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,860,Uzbekistan,UZB,,,,,,,,080212,"Nuts, edible; almonds, fresh or dried, shelled",8,Weight in kilograms,1500,,,,1500,,9549,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,36820,,,,36820,,27860,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080221,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, in shell",8,Weight in kilograms,36820,,,,36820,,27860,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,1016184,,,,1016184,,973026,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,504324,,,,504324,,778061,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080222,"Nuts, edible; hazelnuts or filberts (corylus spp.), fresh or dried, shelled",8,Weight in kilograms,511860,,,,511860,,194965,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,49987,,,,49987,,37944,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,152,Chile,CHL,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,39800,,,,39800,,10925,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080231,"Nuts, edible; walnuts, fresh or dried, in shell",8,Weight in kilograms,10187,,,,10187,,27019,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,171740,,,,171740,,770919,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,152,Chile,CHL,,,,,,,,080232,"Nuts, edible; walnuts, fresh or dried, shelled",8,Weight in kilograms,1750,,,,1750,,18152,,,0
