Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,070410,"Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled",8,Weight in kilograms,118,,,,118,,830,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,724,Spain,ESP,,,,,,,,070410,"Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled",8,Weight in kilograms,525,,,,525,,4151,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,070410,"Vegetables, brassica; cauliflowers and headed broccoli, fresh or chilled",8,Weight in kilograms,250,,,,250,,451,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,565866,,,,565866,,96272,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,362160,,,,362160,,60619,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,202885,,,,202885,,33070,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,528,Netherlands,NLD,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,106,,,,106,,568,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,448,,,,448,,1511,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,710,South Africa,ZAF,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,18,,,,18,,367,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,070490,"Vegetables, brassica; edible, n.e.c. in heading no. 0704, fresh or chilled",8,Weight in kilograms,250,,,,250,,138,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,070519,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",8,Weight in kilograms,15,,,,15,,233,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,070519,"Vegetables; lettuce (lactuca sativa), (other than cabbage lettuce), fresh or chilled",8,Weight in kilograms,15,,,,15,,233,,,0
